feature_id	gene_id	gene_name	gene_product	ortholog_or_alias	chrom	start	end	strand	annotation_source	display_label	YEAST-CENPK-LOWGROWTH
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_29	CENPK1137D_29		Cdc5p	YMR001C	CM001534.1	263750	265867	-	reference GFF: annotation.gff	YMR001C (CENPK1137D_29) — Cdc5p	17.14895363921148
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_30	CENPK1137D_30		Mic17p	YMR002W	CM001534.1	266924	267394	+	reference GFF: annotation.gff	YMR002W (CENPK1137D_30) — Mic17p	778.0048790457487
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_31	CENPK1137D_31		Aim34p	YMR003W	CM001534.1	267849	268445	+	reference GFF: annotation.gff	YMR003W (CENPK1137D_31) — Aim34p	47.685410404619844
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_32	CENPK1137D_32		Mvp1p	YMR004W	CM001534.1	268748	270283	+	reference GFF: annotation.gff	YMR004W (CENPK1137D_32) — Mvp1p	63.453766606478474
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_33	CENPK1137D_33		Taf4p	YMR005W	CM001534.1	270776	271261	+	reference GFF: annotation.gff	YMR005W (CENPK1137D_33) — Taf4p	77.6211063786932
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_34	CENPK1137D_34		Taf4p	YMR005W	CM001534.1	271360	271941	+	reference GFF: annotation.gff	YMR005W (CENPK1137D_34) — Taf4p	94.69638138017633
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_35	CENPK1137D_35		Ngl3p	YML118W	CM001534.1	26849	28366	+	reference GFF: annotation.gff	YML118W (CENPK1137D_35) — Ngl3p	9.053533691377325
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_36	CENPK1137D_36		Plb2p	YMR006C	CM001534.1	272291	274411	-	reference GFF: annotation.gff	YMR006C (CENPK1137D_36) — Plb2p	74.51557644996414
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_37	CENPK1137D_37		Plb1p	YMR008C	CM001534.1	275320	277314	-	reference GFF: annotation.gff	YMR008C (CENPK1137D_37) — Plb1p	89.97687127867525
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_38	CENPK1137D_38		Adi1p	YMR009W	CM001534.1	278832	279371	+	reference GFF: annotation.gff	YMR009W (CENPK1137D_38) — Adi1p	266.4510395170457
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_39	CENPK1137D_39		hypothetical protein	YMR010W	CM001534.1	279830	281047	+	reference GFF: annotation.gff	YMR010W (CENPK1137D_39) — hypothetical protein	33.389854576070896
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_40	CENPK1137D_40		Hxt2p	YMR011W	CM001534.1	282809	284434	+	reference GFF: annotation.gff	YMR011W (CENPK1137D_40) — Hxt2p	392.3369517586072
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_41	CENPK1137D_41		Clu1p	YMR012W	CM001534.1	285864	289697	+	reference GFF: annotation.gff	YMR012W (CENPK1137D_41) — Clu1p	43.234375080189444
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_42	CENPK1137D_42		Sec59p	YMR013C	CM001534.1	289909	291468	-	reference GFF: annotation.gff	YMR013C (CENPK1137D_42) — Sec59p	26.249562597495732
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_43	CENPK1137D_43		Bud22p	YMR014W	CM001534.1	293598	295157	+	reference GFF: annotation.gff	YMR014W (CENPK1137D_43) — Bud22p	45.75694302097715
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_44	CENPK1137D_44		Erg5p	YMR015C	CM001534.1	295600	297216	-	reference GFF: annotation.gff	YMR015C (CENPK1137D_44) — Erg5p	426.1759620436685
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_45	CENPK1137D_45		Sok2p	YMR016C	CM001534.1	297967	300324	-	reference GFF: annotation.gff	YMR016C (CENPK1137D_45) — Sok2p	37.70589684697267
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_46	CENPK1137D_46		Nab6p	YML117W	CM001534.1	28758	32162	+	reference GFF: annotation.gff	YML117W (CENPK1137D_46) — Nab6p	49.628797065930925
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_47	CENPK1137D_47		Spo20p	YMR017W	CM001534.1	302220	303413	+	reference GFF: annotation.gff	YMR017W (CENPK1137D_47) — Spo20p	17.265407215465803
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_48	CENPK1137D_48		hypothetical protein	YMR018W	CM001534.1	304939	306483	+	reference GFF: annotation.gff	YMR018W (CENPK1137D_48) — hypothetical protein	15.702956851115282
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_49	CENPK1137D_49		Stb4p	YMR019W	CM001534.1	307052	309736	+	reference GFF: annotation.gff	YMR019W (CENPK1137D_49) — Stb4p	21.46650538890636
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_50	CENPK1137D_50		Fms1p	YMR020W	CM001534.1	310108	311634	+	reference GFF: annotation.gff	YMR020W (CENPK1137D_50) — Fms1p	46.65395790668294
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_51	CENPK1137D_51		Mac1p	YMR021C	CM001534.1	311896	313065	-	reference GFF: annotation.gff	YMR021C (CENPK1137D_51) — Mac1p	36.55761001021095
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_52	CENPK1137D_52		Ubc7p	YMR022W	CM001534.1	313411	313908	+	reference GFF: annotation.gff	YMR022W (CENPK1137D_52) — Ubc7p	128.41013952628708
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_53	CENPK1137D_53		Mss1p	YMR023C	CM001534.1	314168	315748	-	reference GFF: annotation.gff	YMR023C (CENPK1137D_53) — Mss1p	22.175425240274787
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_54	CENPK1137D_54		Mrpl3p	YMR024W	CM001534.1	316606	317778	+	reference GFF: annotation.gff	YMR024W (CENPK1137D_54) — Mrpl3p	60.37500558895683
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_55	CENPK1137D_55		Csi1p	YMR025W	CM001534.1	318029	318916	+	reference GFF: annotation.gff	YMR025W (CENPK1137D_55) — Csi1p	30.005747693361005
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_56	CENPK1137D_56		Pex12p	YMR026C	CM001534.1	318965	320164	-	reference GFF: annotation.gff	YMR026C (CENPK1137D_56) — Pex12p	53.757665867474145
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_57	CENPK1137D_57		Atr1p	YML116W	CM001534.1	32711	34339	+	reference GFF: annotation.gff	YML116W (CENPK1137D_57) — Atr1p	48.46755686346056
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_58	CENPK1137D_58		hypothetical protein	YMR027W	CM001534.1	320606	322018	+	reference GFF: annotation.gff	YMR027W (CENPK1137D_58) — hypothetical protein	162.7666796319719
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_59	CENPK1137D_59		Tap42p	YMR028W	CM001534.1	322211	323311	+	reference GFF: annotation.gff	YMR028W (CENPK1137D_59) — Tap42p	50.694351416312536
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_60	CENPK1137D_60		Far8p	YMR029C	CM001534.1	323389	324960	-	reference GFF: annotation.gff	YMR029C (CENPK1137D_60) — Far8p	49.154453854925734
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_61	CENPK1137D_61		Rsf1p	YMR030W	CM001534.1	325522	326652	+	reference GFF: annotation.gff	YMR030W (CENPK1137D_61) — Rsf1p	52.2015392231729
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_62	CENPK1137D_62		Eis1p	YMR031C	CM001534.1	326941	329472	-	reference GFF: annotation.gff	YMR031C (CENPK1137D_62) — Eis1p	112.98746998727307
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_63	CENPK1137D_63		Hof1p	YMR032W	CM001534.1	330027	332036	+	reference GFF: annotation.gff	YMR032W (CENPK1137D_63) — Hof1p	8.721230672854338
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_64	CENPK1137D_64		Arp9p	YMR033W	CM001534.1	332517	334006	+	reference GFF: annotation.gff	YMR033W (CENPK1137D_64) — Arp9p	36.89466884163968
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_65	CENPK1137D_65		hypothetical protein	YMR034C	CM001534.1	334147	335451	-	reference GFF: annotation.gff	YMR034C (CENPK1137D_65) — hypothetical protein	40.405561951364874
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_66	CENPK1137D_66		Imp2p	YMR035W	CM001534.1	335871	336404	+	reference GFF: annotation.gff	YMR035W (CENPK1137D_66) — Imp2p	47.53364690773238
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_67	CENPK1137D_67		Mih1p	YMR036C	CM001534.1	336585	338249	-	reference GFF: annotation.gff	YMR036C (CENPK1137D_67) — Mih1p	43.37672999882363
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_68	CENPK1137D_68		Van1p	YML115C	CM001534.1	34702	36309	-	reference GFF: annotation.gff	YML115C (CENPK1137D_68) — Van1p	104.48034346079497
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_69	CENPK1137D_69		Msn2p	YMR037C	CM001534.1	339132	341246	-	reference GFF: annotation.gff	YMR037C (CENPK1137D_69) — Msn2p	50.392631587148124
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_70	CENPK1137D_70		Ccs1p	YMR038C	CM001534.1	342240	342989	-	reference GFF: annotation.gff	YMR038C (CENPK1137D_70) — Ccs1p	129.20538126756392
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_71	CENPK1137D_71		Sub1p	YMR039C	CM001534.1	343366	344244	-	reference GFF: annotation.gff	YMR039C (CENPK1137D_71) — Sub1p	119.17784954148445
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_72	CENPK1137D_72		Yet2p	YMR040W	CM001534.1	345103	345585	+	reference GFF: annotation.gff	YMR040W (CENPK1137D_72) — Yet2p	56.32723293702394
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_73	CENPK1137D_73		Ara2p	YMR041C	CM001534.1	345688	346695	-	reference GFF: annotation.gff	YMR041C (CENPK1137D_73) — Ara2p	63.30159930046773
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_74	CENPK1137D_74		Arg80p	YMR042W	CM001534.1	347324	347857	+	reference GFF: annotation.gff	YMR042W (CENPK1137D_74) — Arg80p	57.250469756274356
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_75	CENPK1137D_75		Mcm1p	YMR043W	CM001534.1	348589	349461	+	reference GFF: annotation.gff	YMR043W (CENPK1137D_75) — Mcm1p	117.2660872053074
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_76	CENPK1137D_76		Ioc4p	YMR044W	CM001534.1	350114	351541	+	reference GFF: annotation.gff	YMR044W (CENPK1137D_76) — Ioc4p	50.47760368264836
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_77	CENPK1137D_77		Nup116p	YMR047C	CM001534.1	352174	355515	-	reference GFF: annotation.gff	YMR047C (CENPK1137D_77) — Nup116p	34.7026693251121
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_78	CENPK1137D_78		Csm3p	YMR048W	CM001534.1	355791	356735	+	reference GFF: annotation.gff	YMR048W (CENPK1137D_78) — Csm3p	56.6885531024848
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_79	CENPK1137D_79		Taf8p	YML114C	CM001534.1	36558	38090	-	reference GFF: annotation.gff	YML114C (CENPK1137D_79) — Taf8p	29.364776216215773
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_80	CENPK1137D_80		Erb1p	YMR049C	CM001534.1	356895	359318	-	reference GFF: annotation.gff	YMR049C (CENPK1137D_80) — Erb1p	29.158269045638146
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_81	CENPK1137D_81		Far3p	YMR052W	CM001534.1	373720	374334	+	reference GFF: annotation.gff	YMR052W (CENPK1137D_81) — Far3p	37.852693675506714
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_82	CENPK1137D_82		Stb2p	YMR053C	CM001534.1	374478	377030	-	reference GFF: annotation.gff	YMR053C (CENPK1137D_82) — Stb2p	26.25674580764588
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_83	CENPK1137D_83		Stv1p	YMR054W	CM001534.1	377435	380107	+	reference GFF: annotation.gff	YMR054W (CENPK1137D_83) — Stv1p	40.39760183277713
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_84	CENPK1137D_84		Bub2p	YMR055C	CM001534.1	380232	381152	-	reference GFF: annotation.gff	YMR055C (CENPK1137D_84) — Bub2p	26.49436017827645
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_85	CENPK1137D_85		Aac1p	YMR056C	CM001534.1	381443	382330	-	reference GFF: annotation.gff	YMR056C (CENPK1137D_85) — Aac1p	108.494466659679
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_86	CENPK1137D_86		Fet3p	YMR058W	CM001534.1	382936	384846	+	reference GFF: annotation.gff	YMR058W (CENPK1137D_86) — Fet3p	41.02182133631567
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_87	CENPK1137D_87		Sen15p	YMR059W	CM001534.1	385214	385600	+	reference GFF: annotation.gff	YMR059W (CENPK1137D_87) — Sen15p	50.36950155428989
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_88	CENPK1137D_88		Sam37p	YMR060C	CM001534.1	385647	386630	-	reference GFF: annotation.gff	YMR060C (CENPK1137D_88) — Sam37p	39.619912807947536
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_89	CENPK1137D_89		Rna14p	YMR061W	CM001534.1	386869	388902	+	reference GFF: annotation.gff	YMR061W (CENPK1137D_89) — Rna14p	37.78273809846842
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_90	CENPK1137D_90		Dat1p	YML113W	CM001534.1	38560	39300	+	reference GFF: annotation.gff	YML113W (CENPK1137D_90) — Dat1p	59.804338722484864
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_91	CENPK1137D_91		Arg7p	YMR062C	CM001534.1	389167	390492	-	reference GFF: annotation.gff	YMR062C (CENPK1137D_91) — Arg7p	109.56707031025616
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_92	CENPK1137D_92		Rim9p	YMR063W	CM001534.1	391199	391909	+	reference GFF: annotation.gff	YMR063W (CENPK1137D_92) — Rim9p	12.42609777894284
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_93	CENPK1137D_93		Aep1p	YMR064W	CM001534.1	392016	393572	+	reference GFF: annotation.gff	YMR064W (CENPK1137D_93) — Aep1p	36.29779566824508
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_94	CENPK1137D_94		Kar5p	YMR065W	CM001534.1	393814	395328	+	reference GFF: annotation.gff	YMR065W (CENPK1137D_94) — Kar5p	14.440285622601749
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_95	CENPK1137D_95		Sov1p	YMR066W	CM001534.1	395653	398349	+	reference GFF: annotation.gff	YMR066W (CENPK1137D_95) — Sov1p	12.687401916780663
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_96	CENPK1137D_96		Ubx4p	YMR067C	CM001534.1	398435	399685	-	reference GFF: annotation.gff	YMR067C (CENPK1137D_96) — Ubx4p	66.81173778962484
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_97	CENPK1137D_97		Avo2p	YMR068W	CM001534.1	400413	401693	+	reference GFF: annotation.gff	YMR068W (CENPK1137D_97) — Avo2p	38.863601227885795
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_98	CENPK1137D_98		Nat4p	YMR069W	CM001534.1	401818	402675	+	reference GFF: annotation.gff	YMR069W (CENPK1137D_98) — Nat4p	5.7206394203757815
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_99	CENPK1137D_99		Mot3p	YMR070W	CM001534.1	403259	404731	+	reference GFF: annotation.gff	YMR070W (CENPK1137D_99) — Mot3p	42.08073729464901
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_100	CENPK1137D_100		Tvp18p	YMR071C	CM001534.1	404867	405370	-	reference GFF: annotation.gff	YMR071C (CENPK1137D_100) — Tvp18p	163.61028742274738
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_101	CENPK1137D_101		Ctk3p	YML112W	CM001534.1	39572	40462	+	reference GFF: annotation.gff	YML112W (CENPK1137D_101) — Ctk3p	49.73626823048404
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_102	CENPK1137D_102		Abf2p	YMR072W	CM001534.1	405674	406225	+	reference GFF: annotation.gff	YMR072W (CENPK1137D_102) — Abf2p	494.89571412967683
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_103	CENPK1137D_103		Irc21p	YMR073C	CM001534.1	406373	406978	-	reference GFF: annotation.gff	YMR073C (CENPK1137D_103) — Irc21p	82.15226596191701
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_104	CENPK1137D_104		hypothetical protein	YMR074C	CM001534.1	407141	407710	-	reference GFF: annotation.gff	YMR074C (CENPK1137D_104) — hypothetical protein	120.0628876124823
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_105	CENPK1137D_105		Rco1p	YMR075W	CM001534.1	408088	410142	+	reference GFF: annotation.gff	YMR075W (CENPK1137D_105) — Rco1p	26.273184841609066
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_106	CENPK1137D_106		Pds5p	YMR076C	CM001534.1	410373	414134	-	reference GFF: annotation.gff	YMR076C (CENPK1137D_106) — Pds5p	21.62086277174607
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_107	CENPK1137D_107		Vps20p	YMR077C	CM001534.1	415589	416254	-	reference GFF: annotation.gff	YMR077C (CENPK1137D_107) — Vps20p	51.58882936753296
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_108	CENPK1137D_108		Ctf18p	YMR078C	CM001534.1	416608	418833	-	reference GFF: annotation.gff	YMR078C (CENPK1137D_108) — Ctf18p	17.32492454418773
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_109	CENPK1137D_109		Sec14p	YMR079W	CM001534.1	419094	420164	+	reference GFF: annotation.gff	YMR079W (CENPK1137D_109) — Sec14p	115.62055525753178
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_110	CENPK1137D_110		Nam7p	YMR080C	CM001534.1	420816	423731	-	reference GFF: annotation.gff	YMR080C (CENPK1137D_110) — Nam7p	29.528723244434712
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_111	CENPK1137D_111		Isf1p	YMR081C	CM001534.1	424183	425199	-	reference GFF: annotation.gff	YMR081C (CENPK1137D_111) — Isf1p	369.41589549560916
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_112	CENPK1137D_112		Ero1p	YML130C	CM001534.1	6002	7693	-	reference GFF: annotation.gff	YML130C (CENPK1137D_112) — Ero1p	63.405202572645265
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_113	CENPK1137D_113		Bul2p	YML111W	CM001534.1	41461	44223	+	reference GFF: annotation.gff	YML111W (CENPK1137D_113) — Bul2p	17.865928702592548
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_114	CENPK1137D_114		Adh3p	YMR083W	CM001534.1	428891	430018	+	reference GFF: annotation.gff	YMR083W (CENPK1137D_114) — Adh3p	317.89628034951755
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_115	CENPK1137D_115		hypothetical protein	YMR085W	CM001534.1	430731	432893	+	reference GFF: annotation.gff	YMR085W (CENPK1137D_115) — hypothetical protein	29.434939762206188
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_116	CENPK1137D_116		hypothetical protein	YMR086W	CM001534.1	433312	436194	+	reference GFF: annotation.gff	YMR086W (CENPK1137D_116) — hypothetical protein	35.41200809982461
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_117	CENPK1137D_117		hypothetical protein	YMR087W	CM001534.1	436630	437484	+	reference GFF: annotation.gff	YMR087W (CENPK1137D_117) — hypothetical protein	33.132108330220525
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_118	CENPK1137D_118		Vba1p	YMR088C	CM001534.1	437517	439205	-	reference GFF: annotation.gff	YMR088C (CENPK1137D_118) — Vba1p	58.61906263408254
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_119	CENPK1137D_119		Yta12p	YMR089C	CM001534.1	439712	442189	-	reference GFF: annotation.gff	YMR089C (CENPK1137D_119) — Yta12p	83.30485751860398
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_120	CENPK1137D_120		hypothetical protein	YMR090W	CM001534.1	443349	444032	+	reference GFF: annotation.gff	YMR090W (CENPK1137D_120) — hypothetical protein	352.23367643142853
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_121	CENPK1137D_121		Npl6p	YMR091C	CM001534.1	444162	445472	-	reference GFF: annotation.gff	YMR091C (CENPK1137D_121) — Npl6p	38.61609268362982
