feature_id	gene_id	gene_name	gene_product	ortholog_or_alias	chrom	start	end	strand	annotation_source	display_label	ECOLI-B36-RPMI
RNA:GENE:EC_B36_GCF900622635:EW036_RS00395	EW036_RS00395	istB	IS21-like element IS21 family helper ATPase IstB		NZ_LR130545.1	68839	69636	+	reference GFF: annotation.gff	istB (EW036_RS00395) — IS21-like element IS21 family helper ATPase IstB	25.829397314658866
RNA:GENE:EC_B36_GCF900622635:EW036_RS00400	EW036_RS00400	istA	IS21-like element IS21 family transposase		NZ_LR130545.1	69749	70921	+	reference GFF: annotation.gff	istA (EW036_RS00400) — IS21-like element IS21 family transposase	2.8672126219838443
RNA:GENE:EC_B36_GCF900622635:EW036_RS00405	EW036_RS00405	istB	IS21-like element IS21 family helper ATPase IstB		NZ_LR130545.1	70921	71718	+	reference GFF: annotation.gff	istB (EW036_RS00405) — IS21-like element IS21 family helper ATPase IstB	26.070230856054284
RNA:GENE:EC_B36_GCF900622635:EW036_RS00410	EW036_RS00410		Rpn family recombination-promoting nuclease/putative transposase		NZ_LR130545.1	71789	72184	+	reference GFF: annotation.gff	EW036_RS00410 — Rpn family recombination-promoting nuclease/putative transposase	129.70072126885123
RNA:GENE:EC_B36_GCF900622635:EW036_RS00415	EW036_RS00415	daaF	F1845 fimbrial adhesin operon transcriptional regulator DaaF		NZ_LR130545.1	72447	72674	-	reference GFF: annotation.gff	daaF (EW036_RS00415) — F1845 fimbrial adhesin operon transcriptional regulator DaaF	62.58661657013494
RNA:GENE:EC_B36_GCF900622635:EW036_RS00420	EW036_RS00420		IS66-like element ISCro1 family transposase		NZ_LR130545.1	73089	74660	-	reference GFF: annotation.gff	EW036_RS00420 — IS66-like element ISCro1 family transposase	3.2703264576319
RNA:GENE:EC_B36_GCF900622635:EW036_RS00425	EW036_RS00425	tnpB	IS66 family insertion sequence element accessory protein TnpB		NZ_LR130545.1	74680	75027	-	reference GFF: annotation.gff	tnpB (EW036_RS00425) — IS66 family insertion sequence element accessory protein TnpB	0.13806405605858169
RNA:GENE:EC_B36_GCF900622635:EW036_RS00430	EW036_RS00430	tnpA	IS66-like element accessory protein TnpA		NZ_LR130545.1	75027	75704	-	reference GFF: annotation.gff	tnpA (EW036_RS00430) — IS66-like element accessory protein TnpA	0.42518842042819843
RNA:GENE:EC_B36_GCF900622635:EW036_RS00440	EW036_RS00440	afaA	AFA-III adhesin operon transcriptional regulator AfaA		NZ_LR130545.1	76300	76605	+	reference GFF: annotation.gff	afaA (EW036_RS00440) — AFA-III adhesin operon transcriptional regulator AfaA	10.519939643993105
RNA:GENE:EC_B36_GCF900622635:EW036_RS00445	EW036_RS00445	draB	Dr fimbrial biogenesis chaperone DraB		NZ_LR130545.1	76894	77691	+	reference GFF: annotation.gff	draB (EW036_RS00445) — Dr fimbrial biogenesis chaperone DraB	3.7329198916290203
RNA:GENE:EC_B36_GCF900622635:EW036_RS00450	EW036_RS00450	afaC	AfaC-I/III family usher protein		NZ_LR130545.1	77731	80313	+	reference GFF: annotation.gff	afaC (EW036_RS00450) — AfaC-I/III family usher protein	2.9017504743740927
RNA:GENE:EC_B36_GCF900622635:EW036_RS00455	EW036_RS00455	draD	Dr fimbrial tip invasin DraD		NZ_LR130545.1	80329	80772	+	reference GFF: annotation.gff	draD (EW036_RS00455) — Dr fimbrial tip invasin DraD	4.436707098747394
RNA:GENE:EC_B36_GCF900622635:EW036_RS00460	EW036_RS00460		protein DraP		NZ_LR130545.1	81179	81352	+	reference GFF: annotation.gff	EW036_RS00460 — protein DraP	23.470889529958885
RNA:GENE:EC_B36_GCF900622635:EW036_RS00465	EW036_RS00465		Dr family adhesin structural subunit		NZ_LR130545.1	81553	82098	+	reference GFF: annotation.gff	EW036_RS00465 — Dr family adhesin structural subunit	1987.4973260227391
RNA:GENE:EC_B36_GCF900622635:EW036_RS00475	EW036_RS00475	tnpB	IS66 family insertion sequence element accessory protein TnpB		NZ_LR130545.1	83047	83427	+	reference GFF: annotation.gff	tnpB (EW036_RS00475) — IS66 family insertion sequence element accessory protein TnpB	355.3660091092728
RNA:GENE:EC_B36_GCF900622635:EW036_RS00480	EW036_RS00480	tnpC	IS66 family transposase		NZ_LR130545.1	83470	85065	+	reference GFF: annotation.gff	tnpC (EW036_RS00480) — IS66 family transposase	143.68731163504285
RNA:GENE:EC_B36_GCF900622635:EW036_RS00490	EW036_RS00490		transposase		NZ_LR130545.1	85807	86516	+	reference GFF: annotation.gff	EW036_RS00490 — transposase	1218.684033485255
RNA:GENE:EC_B36_GCF900622635:EW036_RS00495	EW036_RS00495		IS66-like element ISEc43 family transposase		NZ_LR130545.1	86546	87207	-	reference GFF: annotation.gff	EW036_RS00495 — IS66-like element ISEc43 family transposase	1.088662194298786
RNA:GENE:EC_B36_GCF900622635:EW036_RS00500	EW036_RS00500		IS3 family transposase		NZ_LR130545.1	87280	88019	+	reference GFF: annotation.gff	EW036_RS00500 — IS3 family transposase	114.53197056864008
RNA:GENE:EC_B36_GCF900622635:EW036_RS00510	EW036_RS00510	ltrA	group II intron reverse transcriptase/maturase		NZ_LR130545.1	88692	90200	+	reference GFF: annotation.gff	ltrA (EW036_RS00510) — group II intron reverse transcriptase/maturase	39.57689883692798
RNA:GENE:EC_B36_GCF900622635:EW036_RS00515	EW036_RS00515		IS3 family transposase		NZ_LR130545.1	90284	90757	+	reference GFF: annotation.gff	EW036_RS00515 — IS3 family transposase	25.543598017116835
RNA:GENE:EC_B36_GCF900622635:EW036_RS00520	EW036_RS00520	tnpA	IS66-like element accessory protein TnpA		NZ_LR130545.1	90839	91264	+	reference GFF: annotation.gff	tnpA (EW036_RS00520) — IS66-like element accessory protein TnpA	0.9022777748053789
RNA:GENE:EC_B36_GCF900622635:EW036_RS00525	EW036_RS00525	tnpB	IS66 family insertion sequence element accessory protein TnpB		NZ_LR130545.1	91261	91611	+	reference GFF: annotation.gff	tnpB (EW036_RS00525) — IS66 family insertion sequence element accessory protein TnpB	0.0
RNA:GENE:EC_B36_GCF900622635:EW036_RS00530	EW036_RS00530		IS66-like element ISEc23 family transposase		NZ_LR130545.1	91642	93255	+	reference GFF: annotation.gff	EW036_RS00530 — IS66-like element ISEc23 family transposase	0.05953691636726942
RNA:GENE:EC_B36_GCF900622635:EW036_RS00535	EW036_RS00535		putative zinc ribbon protein		NZ_LR130545.1	93287	93769	+	reference GFF: annotation.gff	EW036_RS00535 — putative zinc ribbon protein	1.1936966834381721
RNA:GENE:EC_B36_GCF900622635:EW036_RS00545	EW036_RS00545	brxL	protease Lon-related BREX system protein BrxL		NZ_LR130545.1	94034	96118	-	reference GFF: annotation.gff	brxL (EW036_RS00545) — protease Lon-related BREX system protein BrxL	49.774575375594566
RNA:GENE:EC_B36_GCF900622635:EW036_RS00550	EW036_RS00550	pglZ	BREX-1 system phosphatase PglZ type A		NZ_LR130545.1	96129	98726	-	reference GFF: annotation.gff	pglZ (EW036_RS00550) — BREX-1 system phosphatase PglZ type A	85.12589677178704
RNA:GENE:EC_B36_GCF900622635:EW036_RS00555	EW036_RS00555	pglX	BREX-1 system adenine-specific DNA-methyltransferase PglX		NZ_LR130545.1	98903	102508	-	reference GFF: annotation.gff	pglX (EW036_RS00555) — BREX-1 system adenine-specific DNA-methyltransferase PglX	118.02386305637462
RNA:GENE:EC_B36_GCF900622635:EW036_RS00560	EW036_RS00560	brxC	BREX system P-loop protein BrxC		NZ_LR130545.1	102554	106195	-	reference GFF: annotation.gff	brxC (EW036_RS00560) — BREX system P-loop protein BrxC	62.782070644813565
RNA:GENE:EC_B36_GCF900622635:EW036_RS00565	EW036_RS00565	brxB	BREX-1 system protein BrxB		NZ_LR130545.1	106207	106809	-	reference GFF: annotation.gff	brxB (EW036_RS00565) — BREX-1 system protein BrxB	54.420592206016465
RNA:GENE:EC_B36_GCF900622635:EW036_RS00570	EW036_RS00570	brxA	BREX-1 system protein BrxA		NZ_LR130545.1	106806	107408	-	reference GFF: annotation.gff	brxA (EW036_RS00570) — BREX-1 system protein BrxA	77.68678975236611
RNA:GENE:EC_B36_GCF900622635:EW036_RS00585	EW036_RS00585		IS1 family transposase		NZ_LR130545.1	108621	109318	+	reference GFF: annotation.gff	EW036_RS00585 — IS1 family transposase	12.045989991357628
RNA:GENE:EC_B36_GCF900622635:EW036_RS00590	EW036_RS00590		glycoside hydrolase family 31 protein		NZ_LR130545.1	109916	112297	-	reference GFF: annotation.gff	EW036_RS00590 — glycoside hydrolase family 31 protein	6.293217023768499
RNA:GENE:EC_B36_GCF900622635:EW036_RS00595	EW036_RS00595		MFS transporter		NZ_LR130545.1	112312	113613	-	reference GFF: annotation.gff	EW036_RS00595 — MFS transporter	2.472428211261052
RNA:GENE:EC_B36_GCF900622635:EW036_RS00600	EW036_RS00600		LacI family DNA-binding transcriptional regulator		NZ_LR130545.1	113875	114945	+	reference GFF: annotation.gff	EW036_RS00600 — LacI family DNA-binding transcriptional regulator	4.755281885984091
RNA:GENE:EC_B36_GCF900622635:EW036_RS00610	EW036_RS00610		tetratricopeptide repeat protein		NZ_LR130545.1	115343	116386	-	reference GFF: annotation.gff	EW036_RS00610 — tetratricopeptide repeat protein	9.158249051885917
RNA:GENE:EC_B36_GCF900622635:EW036_RS00615	EW036_RS00615		tyrosine-type recombinase/integrase		NZ_LR130545.1	116797	117981	-	reference GFF: annotation.gff	EW036_RS00615 — tyrosine-type recombinase/integrase	7.135989287321528
RNA:GENE:EC_B36_GCF900622635:EW036_RS00625	EW036_RS00625	yicJ	glycoside-pentoside-hexuronide family transporter		NZ_LR130545.1	118668	120050	+	reference GFF: annotation.gff	yicJ (EW036_RS00625) — glycoside-pentoside-hexuronide family transporter	1.9107346586849265
RNA:GENE:EC_B36_GCF900622635:EW036_RS00630	EW036_RS00630	yicI	alpha-xylosidase		NZ_LR130545.1	120060	122378	+	reference GFF: annotation.gff	yicI (EW036_RS00630) — alpha-xylosidase	3.9986779909955064
RNA:GENE:EC_B36_GCF900622635:EW036_RS00635	EW036_RS00635		BglG family transcription antiterminator		NZ_LR130545.1	122673	124226	+	reference GFF: annotation.gff	EW036_RS00635 — BglG family transcription antiterminator	0.8038633070901203
RNA:GENE:EC_B36_GCF900622635:EW036_RS00640	EW036_RS00640		PTS sugar transporter subunit IIA		NZ_LR130545.1	124253	124723	+	reference GFF: annotation.gff	EW036_RS00640 — PTS sugar transporter subunit IIA	0.40803644593109484
RNA:GENE:EC_B36_GCF900622635:EW036_RS00645	EW036_RS00645		PTS fructose transporter subunit IIB		NZ_LR130545.1	124741	125055	+	reference GFF: annotation.gff	EW036_RS00645 — PTS fructose transporter subunit IIB	0.0
RNA:GENE:EC_B36_GCF900622635:EW036_RS00650	EW036_RS00650		PTS fructose transporter subunit IIC		NZ_LR130545.1	125080	126171	+	reference GFF: annotation.gff	EW036_RS00650 — PTS fructose transporter subunit IIC	0.571979660814124
RNA:GENE:EC_B36_GCF900622635:EW036_RS00655	EW036_RS00655		class II fructose-bisphosphate aldolase		NZ_LR130545.1	126183	127034	+	reference GFF: annotation.gff	EW036_RS00655 — class II fructose-bisphosphate aldolase	0.2819618046266809
